; GeoPIXE tabulated mass attenuation coefficients.
; Chantler FFAST photo-absorption, via the xraydb package.
; Source: NIST FFAST, C.T. Chantler et al.
; Photoabsorption only; excludes coherent/incoherent scattering.
; Unlike XCOM and Scofield this set extends below 1 keV, which
; is the whole light-element range. Requests outside the
; per-element Range must be refused, not extrapolated.
;
Dataset    FFAST
Reference  C.T. Chantler, J. Phys. Chem. Ref. Data 24 (1995) 71; 29 (2000) 597; NIST FFAST
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with near-identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007800
Range      1.005907E-02 2.998741E+01
Npoints    807
Data
  2.168190E+00  5.053100E-01
  2.189872E+00  4.884500E-01
  2.211771E+00  4.721500E-01
  2.233889E+00  4.563900E-01
  2.256228E+00  4.411600E-01
  2.278790E+00  4.264300E-01
  2.301578E+00  4.121900E-01
  2.324593E+00  3.984300E-01
  2.347839E+00  3.851200E-01
  2.371318E+00  3.722500E-01
  2.395031E+00  3.598200E-01
  2.418981E+00  3.477900E-01
  2.443171E+00  3.361700E-01
  2.467603E+00  3.249300E-01
  2.492279E+00  3.140600E-01
  2.517201E+00  3.035600E-01
  2.542373E+00  2.934100E-01
  2.567797E+00  2.836000E-01
  2.593475E+00  2.741100E-01
  2.619410E+00  2.649400E-01
  2.645604E+00  2.560700E-01
  2.672060E+00  2.475000E-01
  2.698780E+00  2.392100E-01
  2.725768E+00  2.312000E-01
  2.753026E+00  2.234600E-01
  2.780556E+00  2.159800E-01
  2.808362E+00  2.087400E-01
  2.836445E+00  2.017500E-01
  2.864810E+00  1.949900E-01
  2.893458E+00  1.884600E-01
  2.922392E+00  1.821400E-01
  2.951616E+00  1.760400E-01
  2.981132E+00  1.701400E-01
  3.010944E+00  1.644300E-01
  3.041053E+00  1.589200E-01
  3.071464E+00  1.535900E-01
  3.102178E+00  1.484400E-01
  3.133200E+00  1.434600E-01
  3.164532E+00  1.386400E-01
  3.196177E+00  1.339900E-01
  3.228139E+00  1.294900E-01
  3.260420E+00  1.251500E-01
  3.293024E+00  1.209500E-01
  3.325955E+00  1.168900E-01
  3.359214E+00  1.129600E-01
  3.392806E+00  1.091700E-01
  3.426734E+00  1.055000E-01
  3.461002E+00  1.019600E-01
  3.495611E+00  9.853500E-02
  3.530568E+00  9.522400E-02
  3.565873E+00  9.202500E-02
  3.601532E+00  8.893200E-02
  3.637547E+00  8.594400E-02
  3.673923E+00  8.305500E-02
  3.710662E+00  8.026300E-02
  3.747768E+00  7.756500E-02
  3.785246E+00  7.495700E-02
  3.823098E+00  7.243600E-02
  3.861329E+00  7.000000E-02
  3.899943E+00  6.764600E-02
  3.938942E+00  6.537100E-02
  3.978331E+00  6.317200E-02
  4.018115E+00  6.104600E-02
  4.058296E+00  5.899200E-02
  4.098879E+00  5.700700E-02
  4.139868E+00  5.508900E-02
  4.181266E+00  5.323500E-02
  4.223079E+00  5.144300E-02
  4.265309E+00  4.971100E-02
  4.307963E+00  4.803800E-02
  4.351042E+00  4.642000E-02
  4.394553E+00  4.485700E-02
  4.438498E+00  4.334700E-02
  4.482883E+00  4.188700E-02
  4.527712E+00  4.047600E-02
  4.572989E+00  3.911300E-02
  4.618719E+00  3.779500E-02
  4.664906E+00  3.652200E-02
  4.711555E+00  3.529200E-02
  4.758670E+00  3.410200E-02
  4.806257E+00  3.295300E-02
  4.854319E+00  3.184300E-02
  4.902863E+00  3.077000E-02
  4.951891E+00  2.973200E-02
  5.001410E+00  2.873000E-02
  5.051424E+00  2.776200E-02
  5.101938E+00  2.682600E-02
  5.152958E+00  2.592100E-02
  5.204487E+00  2.504700E-02
  5.256532E+00  2.420300E-02
  5.309097E+00  2.338700E-02
  5.362188E+00  2.259800E-02
  5.415810E+00  2.183600E-02
  5.469968E+00  2.109900E-02
  5.524668E+00  2.038800E-02
  5.579914E+00  1.970000E-02
  5.635713E+00  1.903500E-02
  5.692070E+00  1.839300E-02
  5.748991E+00  1.777300E-02
  5.806481E+00  1.717300E-02
  5.864546E+00  1.659400E-02
  5.923191E+00  1.603400E-02
  5.982423E+00  1.549300E-02
  6.042247E+00  1.497000E-02
  6.102670E+00  1.446500E-02
  6.163696E+00  1.397600E-02
  6.225333E+00  1.350500E-02
  6.287586E+00  1.304900E-02
  6.350462E+00  1.260800E-02
  6.413967E+00  1.218300E-02
